X,GO_Number,CHEBI,Chebicategory,parents,hasRole,decision,importantCategory
505,GO:0043225,transports_or_maintains_localization_of CHEBI:24834 !inorganic anion,1.D inorganic anion ,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:22563;CHEBI:24835;CHEBI:36914;CHEBI:24834,NA,1.D inorganic anion,
506,GO:1901237,transports_or_maintains_localization_of CHEBI:46502 !tungstate,1.D inorganic anion ,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:22563;CHEBI:24835;CHEBI:36914;CHEBI:24834;CHEBI:79388;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33579;CHEBI:33675;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:33240;CHEBI:33497;CHEBI:33861;CHEBI:35405;CHEBI:33676;CHEBI:33741;CHEBI:33742;CHEBI:35233;CHEBI:36270;CHEBI:46502,NA,1.D inorganic anion,
507,GO:1903425,transports_or_maintains_localization_of CHEBI:17051 !fluoride,1.D inorganic anion ,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:22563;CHEBI:23905;CHEBI:36830;CHEBI:33429;CHEBI:24835;CHEBI:36914;CHEBI:24834;CHEBI:79389;CHEBI:16042;CHEBI:33434;CHEBI:36892;CHEBI:36895;CHEBI:17051,NA,1.D inorganic anion,
508,GO:0008510,transports_or_maintains_localization_of CHEBI:17544 !hydrogencarbonate;transports_or_maintains_localization_of CHEBI:29101 !sodium(1+),"2.A organic anion,1.C inorganic cation ","CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:35604;CHEBI:17544,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:24835;CHEBI:36914;CHEBI:36915;CHEBI:25213;CHEBI:33504;CHEBI:33579;CHEBI:33674;CHEBI:33296;CHEBI:26712;CHEBI:37246;CHEBI:60242;CHEBI:25414;CHEBI:29101",CHEBI:77746,"2.A organic anion,1.C inorganic cation",
509,GO:0015383,NA,NA,,NA,NA,
510,GO:0015541,transports_or_maintains_localization_of CHEBI:29195 !cyanate,7.D Other organic;unspecificed anion,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:22563;CHEBI:36830;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:36829;CHEBI:36828;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:29195,CHEBI:77746,7.D Other organic;unspecificed anion,
511,GO:0015077,transports_or_maintains_localization_of CHEBI:60242 !monovalent inorganic cation,1.C inorganic cation ,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:24835;CHEBI:36914;CHEBI:36916;CHEBI:36915;CHEBI:60242,NA,1.C inorganic cation,
512,GO:0015294,transports_or_maintains_localization_of CHEBI:36915 !inorganic cation;transports_or_maintains_localization_of CHEBI:24431 !chemical entity,1.C inorganic cation,"CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:24835;CHEBI:36914;CHEBI:36916;CHEBI:36915,CHEBI:24431",NA,1.C inorganic cation,
513,GO:0019829,transports_or_maintains_localization_of CHEBI:36915 !inorganic cation,1.C inorganic cation ,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:24835;CHEBI:36914;CHEBI:36916;CHEBI:36915,NA,1.C inorganic cation,
514,GO:0046873,transports_or_maintains_localization_of CHEBI:25213 !metal cation,1.C inorganic cation ,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:24835;CHEBI:36914;CHEBI:36915;CHEBI:25213,NA,1.C inorganic cation,
515,GO:0072509,transports_or_maintains_localization_of CHEBI:64641 !divalent inorganic cation,1.C inorganic cation ,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:24835;CHEBI:36914;CHEBI:36916;CHEBI:36915;CHEBI:64641,NA,1.C inorganic cation,
516,GO:0072510,transports_or_maintains_localization_of CHEBI:64712 !trivalent inorganic cation,1.C inorganic cation ,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:24835;CHEBI:36914;CHEBI:36916;CHEBI:36915;CHEBI:64712,NA,1.C inorganic cation,
517,GO:0005334,transports_or_maintains_localization_of CHEBI:33569 !noradrenaline;transports_or_maintains_localization_of CHEBI:17996 !chloride;transports_or_maintains_localization_of CHEBI:29101 !sodium(1+),"5.G Other oganic amino compounds,1.D inorganic anion ,1.C inorganic cation ","CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:33822;CHEBI:33853;CHEBI:33570;CHEBI:33566;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:64365;CHEBI:63534;CHEBI:25375;CHEBI:33567;CHEBI:33569,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:22563;CHEBI:23905;CHEBI:36830;CHEBI:33429;CHEBI:24835;CHEBI:36914;CHEBI:24834;CHEBI:79389;CHEBI:16042;CHEBI:33433;CHEBI:33434;CHEBI:33579;CHEBI:33675;CHEBI:24471;CHEBI:23117;CHEBI:33431;CHEBI:33432;CHEBI:17996,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:24835;CHEBI:36914;CHEBI:36915;CHEBI:25213;CHEBI:33504;CHEBI:33579;CHEBI:33674;CHEBI:33296;CHEBI:26712;CHEBI:37246;CHEBI:60242;CHEBI:25414;CHEBI:29101",CHEBI:77746,"5.G Other oganic amino compounds,1.D inorganic anion,1.C inorganic cation",
519,GO:0015129,transports_or_maintains_localization_of CHEBI:24996 !lactate,2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35757;CHEBI:36059;CHEBI:24996,CHEBI:77746;CHEBI:76971,2.A organic anion,
520,GO:0015130,transports_or_maintains_localization_of CHEBI:25350 !mevalonate,2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35757;CHEBI:36059;CHEBI:25350,NA,2.A organic anion,
521,GO:0015166,transports_or_maintains_localization_of CHEBI:26191 !polyol,7.A polyol,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:36357;CHEBI:37577;CHEBI:24651;CHEBI:33582;CHEBI:50860;CHEBI:33822;CHEBI:26191,NA,7.A polyol,
522,GO:0015530,transports_or_maintains_localization_of CHEBI:36208 !shikimate,2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35757;CHEBI:36126;CHEBI:36059;CHEBI:36208,CHEBI:76971;CHEBI:75772;CHEBI:76924,2.A organic anion,
523,GO:0015551,transports_or_maintains_localization_of CHEBI:65228 !3-hydroxyphenyl propanoate,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:35701;CHEBI:33308;CHEBI:33595;CHEBI:33655;CHEBI:33832;CHEBI:33659;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:33822;CHEBI:33853;CHEBI:65228,NA,7.D Other organic,
524,GO:0015665,transports_or_maintains_localization_of CHEBI:30879 !alcohol,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:36357;CHEBI:37577;CHEBI:24651;CHEBI:33582;CHEBI:50860;CHEBI:33822;CHEBI:30879,NA,7.D Other organic,
525,GO:0042931,transports_or_maintains_localization_of CHEBI:28855 !enterobactin,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:5686;CHEBI:72695;CHEBI:33832;CHEBI:24532;CHEBI:37409;CHEBI:33655;CHEBI:33659;CHEBI:51026;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:33822;CHEBI:33853;CHEBI:26195;CHEBI:28855,CHEBI:76969;CHEBI:26672,7.D Other organic,
527,GO:1901241,transports_or_maintains_localization_of CHEBI:48999 !4-hydroxyphenylacetate,2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35757;CHEBI:48999,CHEBI:77746;CHEBI:76946;CHEBI:76924,2.A organic anion,
528,GO:0015446,transports_or_maintains_localization_of CHEBI:22629 !arsenate ion,unspecificed anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:22632;CHEBI:24870;CHEBI:22563;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:33459;CHEBI:35776;CHEBI:22629,NA,unspecificed anion,
529,GO:0022883,NA,NA,,NA,NA,
530,GO:0015624,NA,NA,,NA,NA,
531,GO:0015625,NA,NA,,NA,NA,
532,GO:0102017,NA,NA,,NA,NA,
533,GO:0015526,CHEBI:47878 !hexose phosphate,3.A monosaccharide and derivative;7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:63367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:25710;CHEBI:25703;CHEBI:35701;CHEBI:37734;CHEBI:26816;CHEBI:33447;CHEBI:63385;CHEBI:47878,NA,7.B organophosphorus,
534,GO:0015430,transports_or_maintains_localization_of CHEBI:15978 !sn-glycerol 3-phosphate,7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:78616;CHEBI:63299;CHEBI:26816;CHEBI:63423;CHEBI:22297;CHEBI:26707;CHEBI:16890;CHEBI:14336;CHEBI:26706;CHEBI:15978,CHEBI:77746;CHEBI:76924;CHEBI:76971;CHEBI:75771,7.B organophosphorus,
535,GO:0005340,transports_or_maintains_localization_of CHEBI:64702 !nucleotide-sulfate,6.D nucleotide,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33304;CHEBI:26835;CHEBI:33424;CHEBI:37826;CHEBI:26820;CHEBI:25704;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:51143;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120;CHEBI:25608;CHEBI:36976;CHEBI:64702,NA,6.D nucleotide,
536,GO:0015216,transports_or_maintains_localization_of CHEBI:26395 !purine nucleotide,6.D nucleotide,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:51143;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120;CHEBI:25608;CHEBI:36976;CHEBI:33636;CHEBI:33672;CHEBI:33635;CHEBI:33671;CHEBI:38166;CHEBI:27171;CHEBI:35352;CHEBI:38101;CHEBI:35875;CHEBI:26401;CHEBI:26395,NA,6.D nucleotide,
537,GO:0015218,transports_or_maintains_localization_of CHEBI:26441 !pyrimidine nucleotide,6.D nucleotide,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:51143;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120;CHEBI:25608;CHEBI:36976;CHEBI:33661;CHEBI:33670;CHEBI:25693;CHEBI:35352;CHEBI:38101;CHEBI:38313;CHEBI:39447;CHEBI:26441,NA,6.D nucleotide,
538,GO:0030233,NA,NA,,NA,NA,
539,GO:0051724,transports_or_maintains_localization_of CHEBI:13389 !NAD,6.D nucleotide,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:51143;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120;CHEBI:25608;CHEBI:36976;CHEBI:33661;CHEBI:33670;CHEBI:25693;CHEBI:35352;CHEBI:38101;CHEBI:26421;CHEBI:36980;CHEBI:25527;CHEBI:47885;CHEBI:37007;CHEBI:25524;CHEBI:13389,CHEBI:78675,6.D nucleotide,
540,GO:0015121,results_in_transport_of CHEBI:18021 ! phosphoenolpyruvate,2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35757;CHEBI:18021,CHEBI:77746;CHEBI:78675,2.A organic anion,
541,GO:0005415,transports_or_maintains_localization_of CHEBI:29101 !sodium(1+);transports_or_maintains_localization_of CHEBI:33838 !nucleoside,"1.C inorganic cation ,6.B nucleoside","CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:24835;CHEBI:36914;CHEBI:36915;CHEBI:25213;CHEBI:33504;CHEBI:33579;CHEBI:33674;CHEBI:33296;CHEBI:26712;CHEBI:37246;CHEBI:60242;CHEBI:25414;CHEBI:29101,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:63161;CHEBI:21731;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:5686;CHEBI:72695;CHEBI:33832;CHEBI:24532;CHEBI:38104;CHEBI:33661;CHEBI:33670;CHEBI:25693;CHEBI:26912;CHEBI:33655;CHEBI:33659;CHEBI:33833;CHEBI:61120;CHEBI:33838",CHEBI:77746,"1.C inorganic cation,6.B nucleoside",
542,GO:0010174,NA,NA,,NA,NA,
543,GO:0015211,transports_or_maintains_localization_of CHEBI:26394 !purine nucleoside,6.B nucleoside,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:63161;CHEBI:21731;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:5686;CHEBI:72695;CHEBI:33832;CHEBI:24532;CHEBI:38104;CHEBI:33661;CHEBI:33670;CHEBI:25693;CHEBI:26912;CHEBI:33655;CHEBI:33659;CHEBI:33833;CHEBI:61120;CHEBI:33838;CHEBI:33636;CHEBI:33672;CHEBI:33635;CHEBI:33671;CHEBI:38166;CHEBI:27171;CHEBI:38101;CHEBI:35875;CHEBI:26401;CHEBI:26394,NA,6.B nucleoside,
544,GO:0015214,transports_or_maintains_localization_of CHEBI:26440 !pyrimidine nucleoside,6.B nucleoside,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:63161;CHEBI:21731;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:5686;CHEBI:72695;CHEBI:33832;CHEBI:24532;CHEBI:38104;CHEBI:33661;CHEBI:33670;CHEBI:25693;CHEBI:26912;CHEBI:33655;CHEBI:33659;CHEBI:33833;CHEBI:61120;CHEBI:33838;CHEBI:38101;CHEBI:38313;CHEBI:39447;CHEBI:26440,NA,6.B nucleoside,
545,GO:0015395,NA,NA,,NA,NA,
546,GO:0015471,NA,NA,,NA,NA,
547,GO:0015506,transports_or_maintains_localization_of CHEBI:33838 !nucleoside;transports_or_maintains_localization_of CHEBI:24636 !proton,"6.B nucleoside,1.C inorganic cation ","CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:63161;CHEBI:21731;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:5686;CHEBI:72695;CHEBI:33832;CHEBI:24532;CHEBI:38104;CHEBI:33661;CHEBI:33670;CHEBI:25693;CHEBI:26912;CHEBI:33655;CHEBI:33659;CHEBI:33833;CHEBI:61120;CHEBI:33838,CHEBI:36342;CHEBI:36347;CHEBI:33252;CHEBI:24431;CHEBI:23367;CHEBI:33259;CHEBI:33238;CHEBI:33579;CHEBI:33674;CHEBI:33608;CHEBI:24835;CHEBI:33260;CHEBI:33251;CHEBI:24870;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:25414;CHEBI:36914;CHEBI:36915;CHEBI:60242;CHEBI:15378;CHEBI:36343;CHEBI:36344;CHEBI:36340;CHEBI:36339;CHEBI:33253;CHEBI:24636",NA,"6.B nucleoside,1.C inorganic cation",
548,GO:0034257,transports_or_maintains_localization_of CHEBI:15927 !N-ribosylnicotinamide,6.B nucleoside,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:63161;CHEBI:21731;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:5686;CHEBI:72695;CHEBI:33832;CHEBI:24532;CHEBI:33661;CHEBI:33670;CHEBI:25693;CHEBI:38101;CHEBI:26421;CHEBI:36979;CHEBI:25526;CHEBI:38104;CHEBI:26912;CHEBI:33655;CHEBI:33659;CHEBI:33833;CHEBI:61120;CHEBI:33838;CHEBI:47896;CHEBI:15927,CHEBI:77746;CHEBI:75772;CHEBI:75771,6.B nucleoside,
549,GO:0015165,transports_or_maintains_localization_of CHEBI:61109 !pyrimidine nucleotide-sugar,3.A monosaccharide and derivative,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:51143;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:33582;CHEBI:50860;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33285;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120;CHEBI:47784;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:35241;CHEBI:63367;CHEBI:25609;CHEBI:61109,NA,3.A monosaccharide and derivative,
550,GO:0036080,transports_or_maintains_localization_of CHEBI:64711 !purine nucleotide-sugar,3.A monosaccharide and derivative,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:51143;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:33582;CHEBI:50860;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33285;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120;CHEBI:47784;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:35241;CHEBI:63367;CHEBI:25609;CHEBI:64711,NA,3.A monosaccharide and derivative,
551,GO:0051033,transports_or_maintains_localization_of CHEBI:33697 !ribonucleic acid,6.C nucleic acid,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:33839;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33694;CHEBI:33695;CHEBI:33302;CHEBI:51143;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33285;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120;CHEBI:15986;CHEBI:33696;CHEBI:33697,NA,6.C nucleic acid,
552,GO:0051035,transports_or_maintains_localization_of CHEBI:16991 !deoxyribonucleic acid,6.C nucleic acid,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:33839;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33694;CHEBI:33695;CHEBI:33302;CHEBI:51143;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33285;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120;CHEBI:15986;CHEBI:33696;CHEBI:16991,CHEBI:77746;CHEBI:75771,6.C nucleic acid,
553,GO:0015255,transports_or_maintains_localization_of CHEBI:26288 !propanediol,7.A polyol,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:36357;CHEBI:37577;CHEBI:24651;CHEBI:33582;CHEBI:50860;CHEBI:33822;CHEBI:26191;CHEBI:23824;CHEBI:13643;CHEBI:26288,NA,7.A polyol,
554,GO:0022829,NA,NA,,NA,NA,
555,GO:0022836,NA,NA,,NA,NA,
556,GO:0022838,NA,NA,,NA,NA,
557,GO:0022842,NA,NA,,NA,NA,
558,GO:0022886,NA,NA,,NA,NA,
559,GO:0034290,NA,NA,,NA,NA,
560,GO:0015311,exports CHEBI:24636 !proton;imports CHEBI:63534 !monoamine,"1.C inorganic cation ,5.G Other oganic amino compounds","CHEBI:36342;CHEBI:36347;CHEBI:33252;CHEBI:24431;CHEBI:23367;CHEBI:33259;CHEBI:33238;CHEBI:33579;CHEBI:33674;CHEBI:33608;CHEBI:24835;CHEBI:33260;CHEBI:33251;CHEBI:24870;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:25414;CHEBI:36914;CHEBI:36915;CHEBI:60242;CHEBI:15378;CHEBI:36343;CHEBI:36344;CHEBI:36340;CHEBI:36339;CHEBI:33253;CHEBI:24636,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:64365;CHEBI:63534",NA,"1.C inorganic cation,5.G Other oganic amino compounds",
561,GO:0000227,transports_or_maintains_localization_of CHEBI:16452 !oxaloacetate(2-),2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35693;CHEBI:38716;CHEBI:28965;CHEBI:61336;CHEBI:133294;CHEBI:16452,CHEBI:77746;CHEBI:75772,2.A organic anion,
