X,GO_Number,CHEBI,Chebicategory,parents,hasRole,decision,importantCategory
226,GO:0001406,transports_or_maintains_localization_of CHEBI:55491 !glycerol 1-phosphodiester,7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:55491,NA,7.B organophosphorus,
227,GO:0015119,transports_or_maintains_localization_of CHEBI:47878 !hexose phosphate,3.A monosaccharide and derivative;7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:63367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:25710;CHEBI:25703;CHEBI:35701;CHEBI:37734;CHEBI:26816;CHEBI:33447;CHEBI:63385;CHEBI:47878,NA,7.B organophosphorus,
228,GO:0015120,transports_or_maintains_localization_of CHEBI:61304 !phosphoglycerate,2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:33721;CHEBI:35757;CHEBI:22299;CHEBI:33763;CHEBI:24347;CHEBI:33241;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:58945;CHEBI:61304,NA,2.A organic anion,
229,GO:0015169,transports_or_maintains_localization_of CHEBI:15978 !sn-glycerol 3-phosphate,7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:78616;CHEBI:63299;CHEBI:26816;CHEBI:63423;CHEBI:22297;CHEBI:26707;CHEBI:16890;CHEBI:14336;CHEBI:26706;CHEBI:15978,CHEBI:77746;CHEBI:76924;CHEBI:76971;CHEBI:75771,7.B organophosphorus,
230,GO:0015215,transports_or_maintains_localization_of CHEBI:36976 !nucleotide,6.D nucleotide,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:51143;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120;CHEBI:25608;CHEBI:36976,NA,6.D nucleotide,
231,GO:0015619,transports_or_maintains_localization_of CHEBI:45931 !thiamine(1+) diphosphate(1-),5.G Other oganic amino compounds;7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:25367;CHEBI:33595;CHEBI:5686;CHEBI:72695;CHEBI:33832;CHEBI:24532;CHEBI:33661;CHEBI:33670;CHEBI:25693;CHEBI:51143;CHEBI:35352;CHEBI:38101;CHEBI:38313;CHEBI:39447;CHEBI:33655;CHEBI:33659;CHEBI:50047;CHEBI:33860;CHEBI:38338;CHEBI:26945;CHEBI:45931,CHEBI:75772;CHEBI:77746,5.G Other oganic amino compounds;7.B organophosphorus,
232,GO:0031926,transports_or_maintains_localization_of CHEBI:18405 !pyridoxal 5'-phosphate,7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:25367;CHEBI:33595;CHEBI:5686;CHEBI:72695;CHEBI:33832;CHEBI:24532;CHEBI:33661;CHEBI:33670;CHEBI:25693;CHEBI:51143;CHEBI:35352;CHEBI:38101;CHEBI:26421;CHEBI:27306;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:36970;CHEBI:25340;CHEBI:33674;CHEBI:33608;CHEBI:24651;CHEBI:33822;CHEBI:33655;CHEBI:33659;CHEBI:74818;CHEBI:24745;CHEBI:38182;CHEBI:36587;CHEBI:36586;CHEBI:17478;CHEBI:49104;CHEBI:38187;CHEBI:18405,CHEBI:23354;CHEBI:77746;CHEBI:76971;CHEBI:75772;CHEBI:75771;CHEBI:131699,7.B organophosphorus,
233,GO:0051407,exports CHEBI:35780 !phosphate ion;imports CHEBI:16108 !dihydroxyacetone phosphate,"1.D inorganic anion ,3.A monosaccharide and derivative;7.B organophosphorus ","CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:22563;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33579;CHEBI:33675;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:33302;CHEBI:33459;CHEBI:26082;CHEBI:24835;CHEBI:36914;CHEBI:24834;CHEBI:33461;CHEBI:35780,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:17087;CHEBI:52395;CHEBI:52396;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:33822;CHEBI:30879;CHEBI:139588;CHEBI:15734;CHEBI:139590;CHEBI:26292;CHEBI:78616;CHEBI:63299;CHEBI:63367;CHEBI:63402;CHEBI:63413;CHEBI:63407;CHEBI:24358;CHEBI:33241;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:25710;CHEBI:25703;CHEBI:35701;CHEBI:37734;CHEBI:26816;CHEBI:33447;CHEBI:35132;CHEBI:24356;CHEBI:16108",CHEBI:77746;CHEBI:75772;CHEBI:76971;CHEBI:75771,"1.D inorganic anion,7.B organophosphorus",
234,GO:0051408,exports CHEBI:35780 !phosphate ion;imports CHEBI:17138 !glyceraldehyde 3-phosphate,"1.D inorganic anion ,3.A monosaccharide and derivative;7.B organophosphorus ","CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:22563;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33579;CHEBI:33675;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:33302;CHEBI:33459;CHEBI:26082;CHEBI:24835;CHEBI:36914;CHEBI:24834;CHEBI:33461;CHEBI:35780,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:63367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:25710;CHEBI:25703;CHEBI:35701;CHEBI:37734;CHEBI:26816;CHEBI:33447;CHEBI:35131;CHEBI:35142;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:36586;CHEBI:17478;CHEBI:17138",CHEBI:77746;CHEBI:76924;CHEBI:76971,"1.D inorganic anion,7.B organophosphorus",
235,GO:0089721,transports_or_maintains_localization_of CHEBI:18021 !phosphoenolpyruvate,2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35757;CHEBI:18021,CHEBI:77746;CHEBI:78675,2.A organic anion,
236,GO:0090422,transports_or_maintains_localization_of CHEBI:45931 !thiamine(1+) diphosphate(1-),5.G Other oganic amino compounds;7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:25367;CHEBI:33595;CHEBI:5686;CHEBI:72695;CHEBI:33832;CHEBI:24532;CHEBI:33661;CHEBI:33670;CHEBI:25693;CHEBI:51143;CHEBI:35352;CHEBI:38101;CHEBI:38313;CHEBI:39447;CHEBI:33655;CHEBI:33659;CHEBI:50047;CHEBI:33860;CHEBI:38338;CHEBI:26945;CHEBI:45931,CHEBI:75772;CHEBI:77746,5.G Other oganic amino compounds;7.B organophosphorus,
237,GO:0015346,NA,NA,,NA,NA,
238,GO:0005337,transports_or_maintains_localization_of CHEBI:33838 !nucleoside,6.B nucleoside,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:63161;CHEBI:21731;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:5686;CHEBI:72695;CHEBI:33832;CHEBI:24532;CHEBI:38104;CHEBI:33661;CHEBI:33670;CHEBI:25693;CHEBI:26912;CHEBI:33655;CHEBI:33659;CHEBI:33833;CHEBI:61120;CHEBI:33838,NA,6.B nucleoside,
